x,y,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,SNOW_ON_GROUND,HEATING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MIN_REL_HUMIDITY,TOTAL_RAIN,MAX_TEMPERATURE_FLAG,PROVINCE_CODE,LOCAL_YEAR,MIN_TEMPERATURE,LOCAL_MONTH,ID,MAX_TEMPERATURE,STATION_NAME,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_SNOW_FLAG
-79.4,43.666666666666664,,0,6158355,8,29.5,,,,,ON,2014,-14.5,1,6158355.2014.1.1,-8.4,TORONTO CITY,,,,-11.5,,M,0,,1,M,M,,2014-01-01 00:00:00,,,,,M
-79.4,43.666666666666664,,2,6158355,8,34.8,,,,,ON,2014,-19.2,1,6158355.2014.1.2,-14.3,TORONTO CITY,,,,-16.8,,M,0,,2,M,M,,2014-01-02 00:00:00,,,,,M
-79.4,43.666666666666664,,0.2,6158355,9,32.7,,,,,ON,2014,-22.3,1,6158355.2014.1.3,-7.1,TORONTO CITY,,,,-14.7,,M,0,,3,M,M,,2014-01-03 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,9,21.5,,,,,ON,2014,-7.2,1,6158355.2014.1.4,0.3,TORONTO CITY,,,,-3.5,,M,0,,4,M,M,,2014-01-04 00:00:00,,,,,M
-79.4,43.666666666666664,,11.8,6158355,11,18.2,,,,,ON,2014,-1.7,1,6158355.2014.1.5,1.4,TORONTO CITY,,,,-0.2,,M,0,,5,M,M,,2014-01-05 00:00:00,,,,,M
-79.4,43.666666666666664,,6.4,6158355,12,24.7,,,,,ON,2014,-15.8,1,6158355.2014.1.6,2.4,TORONTO CITY,,,,-6.7,,M,0,,6,M,M,,2014-01-06 00:00:00,,,,,M
-79.4,43.666666666666664,,0.4,6158355,12,37,,,,,ON,2014,-22.2,1,6158355.2014.1.7,-15.8,TORONTO CITY,,,,-19,,M,0,,7,M,M,,2014-01-07 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,13,30,,,,,ON,2014,-16.2,1,6158355.2014.1.8,-7.7,TORONTO CITY,,,,-12,,M,0,,8,M,M,,2014-01-08 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,13,25.4,,,,,ON,2014,-11.8,1,6158355.2014.1.9,-2.9,TORONTO CITY,,,,-7.4,,M,0,,9,M,M,,2014-01-09 00:00:00,,,,,M
-79.4,43.666666666666664,,2,6158355,13,17.9,,,,,ON,2014,-4,1,6158355.2014.1.10,4.1,TORONTO CITY,,,,0.1,,M,0,,10,M,M,,2014-01-10 00:00:00,,,,,M
-79.4,43.666666666666664,,9.6,6158355,11,12.9,,,,,ON,2014,2.9,1,6158355.2014.1.11,7.3,TORONTO CITY,,,,5.1,,M,0,,11,M,M,,2014-01-11 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,8,15.6,,,,,ON,2014,1.3,1,6158355.2014.1.12,3.4,TORONTO CITY,,,,2.4,,M,0,,12,M,M,,2014-01-12 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,8,13.3,,,,,ON,2014,1.9,1,6158355.2014.1.13,7.4,TORONTO CITY,,,,4.7,,M,0,,13,M,M,,2014-01-13 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,5,14.7,,,,,ON,2014,1.3,1,6158355.2014.1.14,5.3,TORONTO CITY,,,,3.3,,M,0,,14,M,M,,2014-01-14 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,5,18.6,,,,,ON,2014,-3.5,1,6158355.2014.1.15,2.4,TORONTO CITY,,,,-0.6,,M,0,,15,M,M,,2014-01-15 00:00:00,,,,,M
-79.4,43.666666666666664,,0,6158355,5,20,,,,,ON,2014,-3.6,1,6158355.2014.1.16,-0.4,TORONTO CITY,,,,-2,,M,0,,16,M,M,,2014-01-16 00:00:00,,,,,M
-79.4,43.666666666666664,,1.3,6158355,7,17.4,,,,,ON,2014,-1.2,1,6158355.2014.1.17,2.3,TORONTO CITY,,,,0.6,,M,0,,17,M,M,,2014-01-17 00:00:00,,,,,M
-79.4,43.666666666666664,,0.5,6158355,6,21.9,,,,,ON,2014,-6.9,1,6158355.2014.1.18,-0.8,TORONTO CITY,,,,-3.9,,M,0,,18,M,M,,2014-01-18 00:00:00,,,,,M
