STATION,geometry
KIPLING,POINT (618101.6129999999 4832636.300000001)
ISLINGTON,POINT (618990.6128000002 4833544.113399999)
ROYAL YORK,POINT (620056.4956999999 4833882.763800001)
OLD MILL,POINT (621361.6775000002 4834111.9013)
JANE,POINT (622220.6642000005 4834091.3814)
RUNNYMEDE,POINT (622874.5077 4834305.388599999)
HIGH PARK,POINT (623684.881 4834584.9111)
KEELE,POINT (624191.6161000002 4834764.329600001)
DUNDAS WEST,POINT (624793.2070000004 4834950.949899999)
LANSDOWNE,POINT (625578.4417000003 4835178.397500001)
DUFFERIN,POINT (626149.2454000004 4835327.524800001)
OSSINGTON,POINT (626913.3717 4835583.0671999995)
CHRISTIE,POINT (627514.3393999999 4835782.255899999)
BATHURST,POINT (628086.3037 4835966.588500001)
SPADINA,POINT (628673.5373999998 4836158.6899)
ST. GEORGE,POINT (629030.6935 4836275.4167)
BAY,POINT (629802.3183000004 4836509.4012)
BLOOR-YONGE,POINT (630136.9649999999 4836575.674799999)
SHERBOURNE,POINT (630873.9336999999 4836757.8968)
CASTLE FRANK,POINT (631521.2781999996 4836950.423900001)
BROADVIEW,POINT (632306.3570999997 4837276.515900001)
CHESTER,POINT (632820.0464000003 4837463.5549)
PAPE,POINT (633395.7292999998 4837636.9014)
DONLANDS,POINT (633978.1013000002 4837809.556500001)
GREENWOOD,POINT (634580.8404999999 4837995.9002)
COXWELL,POINT (635157.3298000004 4838173.966499999)
WOODBINE,POINT (635967.1118000001 4838437.443299999)
MAIN STREET,POINT (636844.7215 4838729.6821)
VICTORIA PARK,POINT (637843.4293 4839378.7958)
WARDEN,POINT (638642.8132999996 4841232.4618)
KENNEDY,POINT (639834.1255000001 4843622.664999999)
UNION,POINT (630660.892 4833804.516799999)
ST. ANDREW,POINT (630260.8339 4834006.926999999)
KING,POINT (630818.3757999996 4834182.7381)
OSGOODE,POINT (630107.9270000001 4834358.1994)
QUEEN,POINT (630698.0229000002 4834540.9288)
ST. PATRICK,POINT (629964.1666000001 4834799.0593)
DUNDAS,POINT (630555.2329000002 4834978.387499999)
QUEEN'S PARK,POINT (629779.4412000002 4835353.701300001)
COLLEGE,POINT (630370.9149000002 4835534.5867)
WELLESLEY,POINT (630307.6070999997 4835962.2787)
MUSEUM,POINT (629514.4122000001 4836180.636499999)
ROSEDALE,POINT (629885.9058999997 4837265.3741999995)
SUMMERHILL,POINT (629671.4627999999 4837959.738299999)
ST. CLAIR,POINT (629435.2701000003 4838504.316199999)
DAVISVILLE,POINT (629140.9097999996 4839583.7094)
EGLINTON,POINT (629021.9767000005 4840533.355799999)
LAWRENCE,POINT (628695.6200000001 4842566.191299999)
YORK MILLS,POINT (628303.7988 4844693.212300001)
SHEPPARD-YONGE,POINT (627911.4408 4846611.989600001)
NORTH YORK CENTRE,POINT (627755.1885000002 4847418.117000001)
FINCH,POINT (627505.4022000004 4848639.7828)
SPADINA,POINT (628562.9254000001 4836492.7183)
DUPONT,POINT (628406.7703999998 4837006.4668000005)
ST CLAIR WEST,POINT (627716.0629000003 4838010.034)
EGLINTON WEST,POINT (626009.7193999998 4839678.244899999)
GLENCAIRN,POINT (625579.6401000004 4840794.2227)
LAWRENCE WEST,POINT (625331.8651 4841497.9307)
YORKDALE,POINT (625014.7216999996 4842562.269400001)
WILSON,POINT (624825.0492000002 4843520.6757)
DOWNSVIEW,POINT (623789.4236000003 4845232.8388)
BAYVIEW,POINT (629762.5038000001 4847231.3685)
BESSARION,POINT (630655.0801999997 4847517.606699999)
LESLIE,POINT (631441.7581000002 4847727.272500001)
DON MILLS,POINT (633087.1371999998 4848247.384400001)
