Station Name,2014,2015,2016,2018,2022,Line
Bloor-Yonge (1 YONGE-UNIVERSITY),216190,216190,204630,204630,155186,1
Bathurst,35510,36460,29320,26900,26234,2
College,47940,47790,47600,44370,42883,1
Bay,31050,30860,27090,32690,24260,2
Davisville,23040,25330,24300,25990,13973,1
Bloor-Yonge (2 BLOOR-DANFORTH),193030,183240,186860,196460,131995,2
Downsview,39900,37670,40640,,,1
Broadview,34880,33460,29800,32670,25057,2
Dundas,75780,81330,77200,73560,72637,1
Castle Frank,7070,8350,8520,9760,12470,2
Dupont,16490,16140,14770,8500,22327,1
Chester,6540,7700,6690,5800,9995,2
Eglinton,77530,72750,75050,68520,59802,1
Christie,12390,12020,14740,12510,15179,2
Eglinton West,19000,16830,16210,21430,6569,1
Coxwell,16980,15260,15620,15480,19148,2
Finch,90910,100820,85720,99350,59364,1
Donlands,10750,11500,10080,11250,11481,2
Glencairn,6520,5720,6040,6940,16118,1
Dufferin,29710,29940,31220,28620,27837,2
King,61360,55810,60930,64730,40664,1
Dundas West,27770,29620,28680,27540,21509,2
Lawrence,24590,24560,22340,22340,27847,1
Greenwood,10660,9040,10390,11080,13568,2
Lawrence West,21420,19950,17630,19740,22975,1
High Park,9750,10390,10510,12080,11802,2
Museum,9800,8100,9680,11840,14399,1
Islington,42630,37410,40250,41270,21331,2
North York Centre,24560,24220,29120,25380,23768,1
Jane,20090,19820,19860,20110,15349,2
Osgoode,24590,22490,25580,23670,27396,1
Keele,17550,15240,14670,16990,17108,2
Queen,52300,48010,45260,48700,38827,1
Kennedy (2 BLOOR-DANFORTH),71440,69790,68940,80070,31249,2
Queen's Park,39660,48070,45460,46470,39543,1
Kipling,58100,52930,49870,49340,31220,2
Rosedale,6260,5980,6010,7770,4787,1
Lansdowne,17850,19250,17590,19000,19541,2
St Andrew,55700,56120,60900,57480,39775,1
Main Street,25580,24130,20930,23950,24918,2
St Clair,34760,36320,34610,36620,33574,1
Old Mill,6530,6620,7350,7750,9319,2
St Clair West,29480,28110,25820,27980,38700,1
Ossington,32290,31610,25920,30100,25828,2
St George (1 YONGE-UNIVERSITY),134890,136200,126930,130850,108290,1
Pape,26670,28710,26280,27080,24708,2
St Patrick,32500,30250,29700,34060,27617,1
Royal York,24010,20230,23050,22800,18568,2
Sheppard-Yonge (1 YONGE-UNIVERSITY),76820,76820,74750,79720,61349,1
Runnymede,21030,17040,19530,20110,15374,2
Spadina (1 YONGE-UNIVERSITY),14680,13790,13570,12620,102255,1
St George (2 BLOOR-DANFORTH),141370,128980,132380,125180,27760,2
Summerhill,5770,5780,6280,5710,16269,1
Sherbourne,25860,25730,25030,31030,28870,2
Union,125220,118450,118450,143640,91601,1
Spadina (2 BLOOR-DANFORTH),38550,33210,28730,31940,15703,2
Wellesley,24480,23140,22280,23510,26152,1
Victoria Park,29890,28610,31460,30780,13611,2
Wilson,23610,22810,23510,29260,25511,1
Warden,32110,29740,29500,39980,12635,2
York Mills,22600,28150,21780,29660,30088,1
Woodbine,13570,14380,15250,14960,18615,2
Yorkdale,34160,19150,27930,22860,8900,1
Ellesmere,1410,1560,1760,1770,1068,3
Bayview,9030,8990,8410,8530,8149,4
Kennedy (3 SCARBOROUGH),35890,35790,32090,31120,19254,3
Bessarion,2380,3050,2880,2990,4269,4
Lawrence East,7470,8130,7850,7930,8968,3
Don Mills,32900,33760,32310,37050,26093,4
McCowan,3930,4620,3710,3860,2331,3
Leslie,6460,6600,6200,5990,5920,4
Midland,2460,2410,2370,2440,1293,3
Sheppard-Yonge (4 SHEPPARD),44590,45750,45750,45750,34532,4
Scarborough Centre,26470,24630,22830,23050,,3
