Date/Time (LST),Longitude (x),Latitude (y),Temp (°C),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Weather
2014-06-03 01:00:00,-79.4,43.63,15.7,1.0,11.0,4.0,"Rain,Fog"
2014-06-03 02:00:00,-79.4,43.63,15.3,2.2,0.0,1.2,"Rain,Fog"
2014-06-03 03:00:00,-79.4,43.63,15.3,2.0,8.0,2.4,"Rain,Fog"
2014-06-03 04:00:00,-79.4,43.63,15.7,0.2,4.0,0.8,"Rain,Fog"
2014-06-03 05:00:00,-79.4,43.63,15.0,1.5,0.0,1.6,"Rain,Fog"
2014-06-03 06:00:00,-79.4,43.63,16.3,1.5,0.0,4.8,"Rain,Fog"
2014-06-11 06:00:00,-79.4,43.63,14.7,0.5,30.0,16.1,Rain
2014-06-11 07:00:00,-79.4,43.63,14.8,0.8,24.0,11.3,Rain
2014-06-11 08:00:00,-79.4,43.63,14.7,0.5,24.0,16.1,
2014-06-11 09:00:00,-79.4,43.63,14.7,0.2,24.0,8.1,"Rain,Fog"
2014-06-11 22:00:00,-79.4,43.63,14.3,1.5,26.0,14.5,Rain
2014-06-12 00:00:00,-79.4,43.63,14.9,3.0,18.0,4.8,"Rain,Fog"
2014-06-12 01:00:00,-79.4,43.63,16.2,9.6,18.0,8.1,"Thunderstorms,Rain,Fog"
2014-06-17 18:00:00,-79.4,43.63,21.1,11.9,17.0,2.4,"Thunderstorms,Rain,Fog"
2014-06-17 19:00:00,-79.4,43.63,18.7,18.0,13.0,16.1,
2014-06-18 19:00:00,-79.4,43.63,20.2,0.5,9.0,16.1,
2014-06-23 18:00:00,-79.4,43.63,17.7,3.3,17.0,16.1,Rain
2014-06-24 05:00:00,-79.4,43.63,17.1,0.2,4.0,12.9,Rain
2014-06-24 06:00:00,-79.4,43.63,17.2,0.2,5.0,11.3,
2014-06-24 18:00:00,-79.4,43.63,23.2,1.0,21.0,16.1,Rain
2014-06-24 19:00:00,-79.4,43.63,23.1,1.2,13.0,16.1,
2014-06-25 18:00:00,-79.4,43.63,19.6,0.2,0.0,9.7,"Rain,Fog"
2014-06-25 19:00:00,-79.4,43.63,20.1,4.5,4.0,6.4,"Rain,Fog"
2014-06-25 20:00:00,-79.4,43.63,19.6,0.8,9.0,6.4,"Rain,Fog"
2014-06-25 21:00:00,-79.4,43.63,19.5,6.8,5.0,3.2,"Rain,Fog"
2014-06-25 22:00:00,-79.4,43.63,19.5,4.5,9.0,8.1,"Rain,Fog"
2014-06-25 23:00:00,-79.4,43.63,19.7,0.2,4.0,16.1,
2014-06-29 20:00:00,-79.4,43.63,21.7,9.6,15.0,16.1,"Thunderstorms,Rain"
